CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge,stars,forks,auth_tot,authors,commits,comments,PR_open,days_inactive,avg_resp_time,med_resp_time,avg_longevity_days,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:,alexa_rank,geo_rmse,geo_mae
1757,348,FUNToken,FUN,https://funtoken.io/,,https://github.com/funfair-tech/funfair-trulioo-client,y,,funfair-tech/funfair-trulioo-client,github,1,0,6,1.67,36,0,4,1.449,3.32,0.43,356.6,C#,35,0,4,2,7,23,3,3,0,0,0.29755,262878,0.324087382,0.201811353
2827,349,Phantasma,SOUL,https://phantasma.io/,,https://github.com/phantasma-io/PhantasmaChain,y,,phantasma-io/PhantasmaChain,github,84,73,19,2.33,14,0,4.5,3.752,2.44,0.17,434.6,C#,57,15,13,1,0,2,1,1,0,122,0.25397,91717,0.295518195,0.187571548
5350,350,Proton,XPR,https://www.protonchain.com,,https://github.com/ProtonProtocol/proton-web-sdk,y,,ProtonProtocol/proton-web-sdk,github,0,0,0,0,0,0,0,19077.458,0,0,0,TypeScript,18,2,5,1,0.1,1,3,1,0,41,0.22416,182553,0.393580456,0.245327136
8938,351,Ellipsis,EPS,https://www.ellipsis.finance/,,https://github.com/ellipsis-finance/ellipsis-v2,y,,ellipsis-finance/ellipsis-v2,github,0,0,0,0,0,0,0,19077.458,0,0,0,Solidity,13,9,2,0,1.8,2,0,0,0,0,0.07574,69535,0.373567083,0.247539518
7288,352,Venus,XVS,https://venus.io/,,https://github.com/SwipeWallet/Venus-Protocol,y,,SwipeWallet/Venus-Protocol,github,0,0,0,0,0,0,0,19077.458,0,0,0,,,,,,,,,,,,,28451,0.430319766,0.281209245
8972,353,Seedify.fund,SFUND,https://launchpad.seedify.fund/,https://staking.seedify.fund/,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,12725,,
5612,354,SOMESING,SSX,https://somesing.io,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,1177354,,
7064,355,BakeryToken,BAKE,https://www.bakeryswap.org/,,https://github.com/BakeryProject/bakery-swap-core,y,,BakeryProject/bakery-swap-core,github,59,87,4,0,0,0,0,1.269,0,0,1,Solidity,29,29,1,10,0,0,0,0,0,0,0.1368,58720,0.391630143,0.247467382
7543,356,Hoo Token,HOO,https://hoo.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,27591,,
3977,357,Sport and Leisure,SNL,https://www.snltoken.io/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,2586482,,
9892,358,YooShi,YOOSHI,https://www.yooshi.io/,,https://github.com/Yooshi-io/yooshi-contract,y,,Yooshi-io/yooshi-contract,github,17,19,2,0,0,0,0,51.921,0,0,25.25,Solidity,20,17,2,0,0,0,0,0,0,0,0.03413,39531,0.391630143,0.247467382
5453,359,KardiaChain,KAI,https://www.kardiachain.io/,,https://github.com/kardiachain/go-kardia,y,,kardiachain/go-kardia,github,45,20,21,3.67,65.33,0.67,7,4.99,8.45,2.79,216.84,Go,46,0,23,3,5.8,8,21,10,0.2,207,0.46347,78851,0.440843502,0.288436206
14822,360,Victoria VR,VR,https://victoriavr.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,92996,,
5429,361,DEAPcoin,DEP,https://dea.sg/,,https://github.com/Digita-Entertainment-Asset/DEP,y,,Digita-Entertainment-Asset/DEP,github,0,0,2,0,0,0,0,744,0,0,0,None,25,25,1,0,0,0,0,0,0,0,0.01915,181886,0.391630143,0.247467382
8894,362,Deeper Network,DPR,https://www.deeper.network,https://www.shop.deeper.network,https://github.com/e2chain-dev/deeper-chain,y,,e2chain-dev/deeper-chain,github,10,0,4,0,0,0,0,323.205,0.54,0.52,110.75,,,,,,,,,,,,,99745,0.391213569,0.254578539
2320,363,Utrust,UTK,https://utrust.com/,,https://github.com/utrustdev/utrust-ts-library,y,,utrustdev/utrust-ts-library,github,3,2,5,1,0,0.5,1,33.044,10.21,0.62,193,TypeScript,16,11,4,1,0.1,4,2,1,0.5,0,0.14694,111775,0.334226723,0.205800715
2570,364,TomoChain,TOMO,https://tomochain.com/,,https://github.com/tomochain/tomochain,y,,tomochain/tomochain,github,184,191,68,1.67,3,1.67,1,4.043,25.94,3.76,287.04,Go,110,11,297,7,0,5,2,1,0,670,0.47504,146266,0.440843502,0.288436206
7725,365,TrueFi,TRU,https://truefi.io/,https://www.trusttoken.com/,https://github.com/trusttoken/truefi-spec,y,,trusttoken/truefi-spec,github,26,13,8,0,0,0,0,2.55,0.87,0.87,152.4,None,20,5,10,2,0.3,0,0,0,0,0,0.15534,111861,0.391151743,0.24062696
1788,366,Metal,MTL,https://www.metalpay.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,376419,,
1762,367,Ergo,ERG,https://ergoplatform.org/,,https://github.com/ergoplatform/ergo,y,,ergoplatform/ergo,github,422,185,137,17.33,179.33,96.67,25,0.032,37.56,8.71,279.3,Scala,68,0,48,2,16.5,45,85,56,0.9,1309,0.58747,181624,0.392615788,0.25328301
9104,368,AIOZ Network,AIOZ,https://aioz.network/,,https://github.com/AIOZNetwork/mainnet,y,,AIOZNetwork/mainnet,github,1,0,0,0,0,0,0,16.065,0,0,0,None,12,12,1,0,0,0,0,0,0,0,0.01915,105325,0.440843502,0.288436206
11568,369,Adventure Gold,AGLD,https://www.lootproject.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,148832,,
13655,370,Crabada,CRA,https://www.crabada.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,30751,,
2137,371,Electroneum,ETN,http://electroneum.com/,,https://github.com/electroneum/electroneum,y,,electroneum/electroneum,github,503,576,445,0,0,0,0,1.706,0.08,0.08,95.95,C++,112,5,289,2,0,7,5,3,1,19,0.42474,132995,0.315128022,0.20082957
